AxisNo TryNo NewCalOff ContactTorque AveTorque Ip Kv ContactPoint
1 0 0.381785 1.84248 1.03554 0.446117 0.408909 0
1 1 0.382939 1.80116 1.0162 0.440972 0.399831 20.8144
1 2 0.3838 1.84194 1.04622 0.464728 0.403839 20.8147
2 0 1.05227 -5.42546 -4.37975 -3.47274 0.319056 0
2 1 1.05093 -5.43919 -4.39434 -3.43835 0.337295 -1.46515
2 2 1.05822 -5.44556 -4.41001 -3.43171 0.345598 -1.46271
3 0 5.53777 4.58862 3.76963 3.21869 0.227287 0
3 1 5.54238 4.58376 3.76137 3.22862 0.221783 -15.1495
3 2 5.54074 4.6109 3.78867 3.24232 0.225898 -15.1488
4 0 4.42847 1.29198 0.6172 0.515733 0.419777 0
4 1 4.42598 1.23955 0.566356 0.472346 0.4143 -28.6189
4 2 4.42387 1.21055 0.53698 0.419339 0.431659 -28.6169
5 0 7.28024 -1.99632 -1.05413 -0.73469 0.274597 0
5 1 7.27782 -1.98161 -1.05011 -0.748554 0.268214 38.6016
5 2 7.28436 -2.03586 -1.10607 -0.783331 0.275774 38.6072
6 0 1.51414 -1.82797 -0.899993 -0.634318 0.327386 0
6 1 1.51195 -1.82238 -0.898076 -0.649158 0.319385 41.9304
6 2 1.5122 -1.81909 -0.89463 -0.651163 0.316782 41.9301
